"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2036099_1"	26348	25612	25612	25612	24849	24812	"Frenk"
"SRR2036100_1"	59804	58207	58207	58207	55597	54586	"Frenk"
"SRR2036101_1"	22015	21524	21524	21524	20988	20926	"Frenk"
"SRR2036102_1"	57179	55635	55635	55635	52601	51138	"Frenk"
"SRR2036103_1"	67085	65141	65141	65141	60518	60387	"Frenk"
"SRR2036104_1"	61160	59035	59035	59035	55287	54532	"Frenk"
"SRR2036105_1"	69407	67772	67772	67772	62579	62499	"Frenk"
"SRR2036106_1"	65284	63613	63613	63613	58225	57658	"Frenk"
"SRR2036107_1"	63809	61704	61704	61704	56105	54980	"Frenk"
"SRR2036108_1"	60655	58715	58715	58715	53797	52838	"Frenk"
"SRR2036109_1"	65970	64574	64574	64574	61818	61506	"Frenk"
"SRR2036110_1"	57870	56444	56444	56444	53434	52510	"Frenk"
"SRR2036111_1"	63749	62101	62101	62101	60507	60204	"Frenk"
"SRR2036112_1"	56026	54720	54720	54720	53309	52515	"Frenk"
"SRR2036113_1"	66710	65079	65079	65079	62200	62040	"Frenk"
"SRR2036114_1"	64764	62778	62778	62778	60901	59798	"Frenk"
"SRR2036115_1"	25765	24979	24979	24979	23822	23768	"Frenk"
"SRR2036116_1"	60688	58908	58908	58908	54216	53299	"Frenk"
"SRR2036117_1"	16504	15993	15993	15993	15482	15466	"Frenk"
"SRR2036118_1"	65203	63109	63109	63109	57623	56699	"Frenk"
"SRR2036119_1"	60530	59035	59035	59035	54764	54682	"Frenk"
"SRR2036120_1"	58193	56756	56756	56756	52847	52185	"Frenk"
"SRR2036121_1"	116111	113125	113125	113125	109110	107855	"Frenk"
"SRR2036122_1"	51689	50363	50363	50363	49558	49176	"Frenk"
"SRR2036123_1"	69359	67628	67628	67628	66026	65231	"Frenk"
