"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"D02D_S326_L001_R1_001"	18564	18558	18558	18558	18472	18467	"deVries"
"D03A_S39_L001_R1_001"	20820	20804	20804	20804	20635	20624	"deVries"
"D03B_S135_L001_R1_001"	9921	9914	9914	9914	9867	9867	"deVries"
"D03C_S231_L001_R1_001"	15316	15310	15310	15310	15290	15290	"deVries"
"D03D_S327_L001_R1_001"	15181	15173	15173	15173	15055	15053	"deVries"
"D04C_S232_L001_R1_001"	23213	23198	23198	23198	23098	23095	"deVries"
"D04D_S328_L001_R1_001"	26957	26942	26942	26942	26777	26771	"deVries"
"D05A_S41_L001_R1_001"	8516	8513	8513	8513	8492	8490	"deVries"
"D05B_S137_L001_R1_001"	14313	14301	14301	14301	14217	14217	"deVries"
"D05C_S233_L001_R1_001"	17751	17740	17740	17740	17683	17680	"deVries"
"D05D_S329_L001_R1_001"	23622	23600	23600	23600	23419	23410	"deVries"
"D06A_S42_L001_R1_001"	4475	4470	4470	4470	4456	4456	"deVries"
"D06B_S138_L001_R1_001"	29569	29544	29544	29544	29273	29263	"deVries"
"D06C_S234_L001_R1_001"	30826	30803	30803	30803	30591	30588	"deVries"
"D06D_S330_L001_R1_001"	26147	26133	26133	26133	25982	25974	"deVries"
"D07A_S43_L001_R1_001"	17283	17274	17274	17274	17133	17121	"deVries"
"D07B_S139_L001_R1_001"	20678	20667	20667	20667	20525	20523	"deVries"
"D08A_S44_L001_R1_001"	17634	17624	17624	17624	17498	17494	"deVries"
"D08B_S140_L001_R1_001"	11809	11804	11804	11804	11777	11777	"deVries"
"D08C_S236_L001_R1_001"	28747	28716	28716	28716	28402	28400	"deVries"
"D09C_S237_L001_R1_001"	28710	28697	28697	28697	28559	28534	"deVries"
"D10C_S238_L001_R1_001"	15995	15988	15988	15988	15942	15942	"deVries"
"D11C_S239_L001_R1_001"	24017	24002	24002	24002	23859	23859	"deVries"
"E01A_S49_L001_R1_001"	27719	27701	27701	27701	27454	27454	"deVries"
"E01B_S145_L001_R1_001"	12165	12156	12156	12156	12093	12091	"deVries"
"E01C_S241_L001_R1_001"	14371	14359	14359	14359	14302	14300	"deVries"
"E01D_S337_L001_R1_001"	30579	30561	30561	30561	30156	30156	"deVries"
"E02A_S50_L001_R1_001"	3106	3104	3104	3104	3104	3104	"deVries"
"E02B_S146_L001_R1_001"	7832	7828	7828	7828	7820	7820	"deVries"
"E02C_S242_L001_R1_001"	9365	9361	9361	9361	9346	9346	"deVries"
"E02D_S338_L001_R1_001"	24532	24516	24516	24516	24306	24303	"deVries"
"E03A_S51_L001_R1_001"	23974	23960	23960	23960	23871	23871	"deVries"
"E03B_S147_L001_R1_001"	19931	19923	19923	19923	19879	19877	"deVries"
"E03D_S339_L001_R1_001"	22376	22360	22360	22360	22169	22161	"deVries"
"E04C_S244_L001_R1_001"	23410	23396	23396	23396	23283	23283	"deVries"
"E04D_S340_L001_R1_001"	24950	24935	24935	24935	24678	24662	"deVries"
"E05A_S53_L001_R1_001"	19260	19248	19248	19248	19150	19150	"deVries"
"E05B_S149_L001_R1_001"	10657	10651	10651	10651	10628	10628	"deVries"
"E05C_S245_L001_R1_001"	12782	12774	12774	12774	12727	12727	"deVries"
"E05D_S341_L001_R1_001"	27252	27229	27229	27229	26831	26771	"deVries"
"E06A_S54_L001_R1_001"	24462	24447	24447	24447	24208	24206	"deVries"
"E06B_S150_L001_R1_001"	8201	8194	8194	8194	8182	8174	"deVries"
"E06C_S246_L001_R1_001"	11743	11731	11731	11731	11697	11697	"deVries"
"E06D_S342_L001_R1_001"	27391	27377	27377	27377	27196	27193	"deVries"
