"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR2044522_1"	19561	19560	19560	19560	19560	19560	"Seekatz"
"SRR2044523_1"	57346	57344	57344	57344	56690	56690	"Seekatz"
"SRR2044524_1"	42959	42953	42953	42953	42553	42553	"Seekatz"
"SRR2044525_1"	46969	46967	46967	46967	46340	46340	"Seekatz"
"SRR2044526_1"	35450	35445	35445	35445	35158	35158	"Seekatz"
"SRR2044527_1"	39140	39140	39140	39140	39049	39049	"Seekatz"
"SRR2044528_1"	38796	38796	38796	38796	38590	38590	"Seekatz"
"SRR2044529_1"	28345	28345	28345	28345	27844	27844	"Seekatz"
"SRR2044530_1"	38199	38198	38198	38198	38075	38069	"Seekatz"
"SRR2044531_1"	31428	31425	31425	31425	31404	31404	"Seekatz"
"SRR2044532_1"	31928	31927	31927	31927	31907	31907	"Seekatz"
"SRR2044533_1"	20390	20386	20386	20386	20368	20368	"Seekatz"
"SRR2044534_1"	23679	23677	23677	23677	23538	23538	"Seekatz"
"SRR2044535_1"	30213	30210	30210	30210	29903	29903	"Seekatz"
"SRR2044536_1"	49360	49352	49352	49352	48799	48799	"Seekatz"
"SRR2044537_1"	68018	68010	68010	68010	67443	67443	"Seekatz"
"SRR2044538_1"	28880	28877	28877	28877	28877	28877	"Seekatz"
"SRR2044539_1"	47247	47244	47244	47244	46970	46970	"Seekatz"
"SRR2044540_1"	37760	37755	37755	37755	37613	37613	"Seekatz"
"SRR2044541_1"	27646	27646	27646	27646	27577	27577	"Seekatz"
"SRR2044542_1"	43848	43845	43845	43845	43816	43816	"Seekatz"
"SRR2044543_1"	31090	31088	31088	31088	31051	31051	"Seekatz"
"SRR2044544_1"	28990	28987	28987	28987	28948	28945	"Seekatz"
"SRR2044545_1"	57340	57337	57337	57337	57299	57297	"Seekatz"
"SRR2044546_1"	28285	28284	28284	28284	28215	28215	"Seekatz"
"SRR2044547_1"	18507	18506	18506	18506	18497	18497	"Seekatz"
