"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"276.327_R1"	13810	13803	13803	13803	13757	13420	"Jurburg_Pig"
"276.328_R1"	24597	24575	24575	24575	24357	24315	"Jurburg_Pig"
"276.329_R1"	23726	23698	23698	23698	23405	22872	"Jurburg_Pig"
"276.330_R1"	27661	27646	27646	27646	26989	26024	"Jurburg_Pig"
"276.331_R1"	20689	20681	20681	20681	20334	20244	"Jurburg_Pig"
"276.332_R1"	17336	17329	17329	17329	17226	16841	"Jurburg_Pig"
"276.333_R1"	14588	14575	14575	14575	14509	14491	"Jurburg_Pig"
"276.334_R1"	11744	11733	11733	11733	11660	11396	"Jurburg_Pig"
"276.337_R1"	21156	21140	21140	21140	21057	20730	"Jurburg_Pig"
"276.338_R1"	16185	16159	16159	16159	16005	15725	"Jurburg_Pig"
"276.339_R1"	18793	18778	18778	18778	18423	18386	"Jurburg_Pig"
"276.340_R1"	20219	20215	20215	20215	19913	19687	"Jurburg_Pig"
"276.341_R1"	23803	23782	23782	23782	22912	22796	"Jurburg_Pig"
"276.342_R1"	13673	13666	13666	13666	13317	13027	"Jurburg_Pig"
"276.343_R1"	21770	21749	21749	21749	21512	21234	"Jurburg_Pig"
"276.344_R1"	10865	10858	10858	10858	10521	10514	"Jurburg_Pig"
"276.345_R1"	15510	15508	15508	15508	15142	14799	"Jurburg_Pig"
"276.346_R1"	17862	17845	17845	17845	17441	17331	"Jurburg_Pig"
"276.349_R1"	19726	19719	19719	19719	19660	19132	"Jurburg_Pig"
"276.350_R1"	10718	10718	10718	10718	10577	10396	"Jurburg_Pig"
"276.351_R1"	14582	14579	14579	14579	14302	14188	"Jurburg_Pig"
"276.352_R1"	15469	15463	15463	15463	15417	15105	"Jurburg_Pig"
"276.353_R1"	19271	19261	19261	19261	19038	18932	"Jurburg_Pig"
"276.354_R1"	9771	9767	9767	9767	9749	9515	"Jurburg_Pig"
"276.355_R1"	12579	12576	12576	12576	12536	12078	"Jurburg_Pig"
"276.356_R1"	16775	16768	16768	16768	16530	16429	"Jurburg_Pig"
"276.357_R1"	12794	12785	12785	12785	12728	12569	"Jurburg_Pig"
"276.358_R1"	11505	11499	11499	11499	11472	11361	"Jurburg_Pig"
"276.361_R1"	14298	14295	14295	14295	13759	13319	"Jurburg_Pig"
"276.362_R1"	16414	16410	16410	16410	16124	15993	"Jurburg_Pig"
"276.363_R1"	20219	20214	20214	20214	20047	19421	"Jurburg_Pig"
"276.364_R1"	20593	20587	20587	20587	20402	20343	"Jurburg_Pig"
"276.365_R1"	19448	19412	19412	19412	19270	18791	"Jurburg_Pig"
"276.366_R1"	10783	10777	10777	10777	10728	10400	"Jurburg_Pig"
"276.367_R1"	46352	46314	46314	46314	45326	44247	"Jurburg_Pig"
"276.368_R1"	10911	10907	10907	10907	10706	10642	"Jurburg_Pig"
"276.369_R1"	12373	12369	12369	12369	12256	12121	"Jurburg_Pig"
"276.370_R1"	11460	11453	11453	11453	11430	11366	"Jurburg_Pig"
"276.373_R1"	15665	15643	15643	15643	15381	15081	"Jurburg_Pig"
"276.374_R1"	9653	9651	9651	9651	9589	9440	"Jurburg_Pig"
"276.375_R1"	12840	12832	12832	12832	12354	12323	"Jurburg_Pig"
"276.376_R1"	12215	12211	12211	12211	11922	11810	"Jurburg_Pig"
"276.377_R1"	22159	22129	22129	22129	21047	20980	"Jurburg_Pig"
"276.378_R1"	11625	11623	11623	11623	11598	10446	"Jurburg_Pig"
"276.379_R1"	7970	7956	7956	7956	7956	7942	"Jurburg_Pig"
"276.381_R1"	6965	6965	6965	6965	6965	6965	"Jurburg_Pig"
"276.385_R1"	21689	21687	21687	21687	20641	19743	"Jurburg_Pig"
"276.386_R1"	18151	18141	18141	18141	17954	17816	"Jurburg_Pig"
"276.387_R1"	15060	15056	15056	15056	14968	14096	"Jurburg_Pig"
"276.388_R1"	19360	19342	19342	19342	19177	19103	"Jurburg_Pig"
"276.389_R1"	17010	16998	16998	16998	16972	16100	"Jurburg_Pig"
"276.390_R1"	20222	20214	20214	20214	18904	18602	"Jurburg_Pig"
"276.391_R1"	17291	17275	17275	17275	16963	16874	"Jurburg_Pig"
"276.392_R1"	19052	19044	19044	19044	18868	18229	"Jurburg_Pig"
"276.393_R1"	22592	22573	22573	22573	21824	21766	"Jurburg_Pig"
"276.394_R1"	18506	18485	18485	18485	18415	17708	"Jurburg_Pig"
"276.397_R1"	16379	16366	16366	16366	16313	15925	"Jurburg_Pig"
"276.398_R1"	16468	16462	16462	16462	15892	15716	"Jurburg_Pig"
"276.399_R1"	15130	15127	15127	15127	14632	14569	"Jurburg_Pig"
"276.400_R1"	19826	19820	19820	19820	19247	18772	"Jurburg_Pig"
"276.401_R1"	16294	16282	16282	16282	16034	15972	"Jurburg_Pig"
"276.402_R1"	14159	14153	14153	14153	14052	13838	"Jurburg_Pig"
"276.403_R1"	18821	18815	18815	18815	18574	18210	"Jurburg_Pig"
"276.404_R1"	16809	16802	16802	16802	16064	16026	"Jurburg_Pig"
"276.405_R1"	19420	19414	19414	19414	18805	18683	"Jurburg_Pig"
"276.406_R1"	17324	17308	17308	17308	16942	16915	"Jurburg_Pig"
"276.409_R1"	21092	21082	21082	21082	20820	20318	"Jurburg_Pig"
"276.410_R1"	15108	15095	15095	15095	14417	14279	"Jurburg_Pig"
"276.411_R1"	18182	18170	18170	18170	17767	17572	"Jurburg_Pig"
"276.412_R1"	19410	19384	19384	19384	19110	18672	"Jurburg_Pig"
"276.413_R1"	19452	19444	19444	19444	19216	19042	"Jurburg_Pig"
"276.414_R1"	16075	16069	16069	16069	15972	15414	"Jurburg_Pig"
"276.415_R1"	16147	16143	16143	16143	15401	15152	"Jurburg_Pig"
"276.416_R1"	16863	16848	16848	16848	16551	16348	"Jurburg_Pig"
"276.417_R1"	14704	14697	14697	14697	14650	14150	"Jurburg_Pig"
"276.418_R1"	17019	17012	17012	17012	16611	16537	"Jurburg_Pig"
"276.421_R1"	20955	20946	20946	20946	20669	19887	"Jurburg_Pig"
"276.424_R1"	9714	9711	9711	9711	9711	9711	"Jurburg_Pig"
"280.001_R1"	38259	38251	38251	38251	36564	36443	"Jurburg_Pig"
"280.002_R1"	37951	37939	37939	37939	36659	35694	"Jurburg_Pig"
"280.003_R1"	59893	59877	59877	59877	59690	57111	"Jurburg_Pig"
"280.004_R1"	49958	49947	49947	49947	49371	47924	"Jurburg_Pig"
"280.005_R1"	58297	58277	58277	58277	57196	55258	"Jurburg_Pig"
"280.006_R1"	32843	32834	32834	32834	32436	32187	"Jurburg_Pig"
"280.007_R1"	46527	46516	46516	46516	45254	40820	"Jurburg_Pig"
"280.008_R1"	39237	39231	39231	39231	37416	32521	"Jurburg_Pig"
"280.009_R1"	69122	69108	69108	69108	67260	63755	"Jurburg_Pig"
"280.010_R1"	24485	24480	24480	24480	23812	23079	"Jurburg_Pig"
"280.013_R1"	36868	36861	36861	36861	36522	35662	"Jurburg_Pig"
"280.014_R1"	54504	54489	54489	54489	53719	53481	"Jurburg_Pig"
"280.015_R1"	49428	49412	49412	49412	49007	48671	"Jurburg_Pig"
"280.016_R1"	55448	55426	55426	55426	54910	54576	"Jurburg_Pig"
"280.017_R1"	208276	208218	208218	208218	202948	196224	"Jurburg_Pig"
"280.018_R1"	182055	182022	182022	182022	168405	165145	"Jurburg_Pig"
"280.019_R1"	56429	56423	56423	56423	53587	51553	"Jurburg_Pig"
"280.020_R1"	41463	41452	41452	41452	37996	37003	"Jurburg_Pig"
"280.021_R1"	38852	38841	38841	38841	37069	35842	"Jurburg_Pig"
"280.022_R1"	114527	114505	114505	114505	103944	101169	"Jurburg_Pig"
"280.025_R1"	58225	58214	58214	58214	55180	53915	"Jurburg_Pig"
"280.026_R1"	41584	41577	41577	41577	39049	31351	"Jurburg_Pig"
"280.027_R1"	39298	39290	39290	39290	37927	34388	"Jurburg_Pig"
"280.028_R1"	38127	38119	38119	38119	36912	29514	"Jurburg_Pig"
"280.029_R1"	56923	56915	56915	56915	52161	51196	"Jurburg_Pig"
"280.030_R1"	34060	34049	34049	34049	33758	32670	"Jurburg_Pig"
"280.031_R1"	28657	28644	28644	28644	28586	27515	"Jurburg_Pig"
"280.032_R1"	28826	28823	28823	28823	28245	23954	"Jurburg_Pig"
"280.033_R1"	31799	31790	31790	31790	31630	28097	"Jurburg_Pig"
"280.034_R1"	29559	29552	29552	29552	28273	28070	"Jurburg_Pig"
"280.037_R1"	72553	72519	72519	72519	69491	69139	"Jurburg_Pig"
"280.038_R1"	41625	41622	41622	41622	39634	36570	"Jurburg_Pig"
"280.039_R1"	39170	39156	39156	39156	37981	37830	"Jurburg_Pig"
"280.040_R1"	35080	35070	35070	35070	33829	33297	"Jurburg_Pig"
"280.041_R1"	38757	38743	38743	38743	37645	37042	"Jurburg_Pig"
"280.042_R1"	28824	28817	28817	28817	28360	28066	"Jurburg_Pig"
"280.043_R1"	45308	45299	45299	45299	44527	43238	"Jurburg_Pig"
"280.045_R1"	25246	25241	25241	25241	24546	24339	"Jurburg_Pig"
"280.046_R1"	34892	34883	34883	34883	34154	33327	"Jurburg_Pig"
"280.049_R1"	24823	24810	24810	24810	24545	23715	"Jurburg_Pig"
"280.050_R1"	32908	32901	32901	32901	32469	31039	"Jurburg_Pig"
"280.051_R1"	49584	49573	49573	49573	49189	44100	"Jurburg_Pig"
"280.052_R1"	96538	96526	96526	96526	95339	90150	"Jurburg_Pig"
"280.053_R1"	35785	35776	35776	35776	34787	34036	"Jurburg_Pig"
"280.054_R1"	25467	25462	25462	25462	25216	24607	"Jurburg_Pig"
"280.055_R1"	81999	81965	81965	81965	80063	77457	"Jurburg_Pig"
"280.056_R1"	22773	22764	22764	22764	22442	21683	"Jurburg_Pig"
"280.057_R1"	29508	29502	29502	29502	29323	27665	"Jurburg_Pig"
"280.058_R1"	39239	39225	39225	39225	38104	37362	"Jurburg_Pig"
"280.061_R1"	34172	34163	34163	34163	33174	32875	"Jurburg_Pig"
"280.062_R1"	78931	78912	78912	78912	74823	70794	"Jurburg_Pig"
"280.063_R1"	21699	21692	21692	21692	21595	21307	"Jurburg_Pig"
"280.064_R1"	32740	32731	32731	32731	31621	31186	"Jurburg_Pig"
"280.065_R1"	250043	250005	250005	250005	241338	233547	"Jurburg_Pig"
"280.066_R1"	33078	33061	33061	33061	32847	32379	"Jurburg_Pig"
"280.067_R1"	29782	29774	29774	29774	29499	28297	"Jurburg_Pig"
"280.068_R1"	84923	84903	84903	84903	81854	81211	"Jurburg_Pig"
"280.069_R1"	25870	25860	25860	25860	25171	24940	"Jurburg_Pig"
"280.070_R1"	25126	25121	25121	25121	24960	24162	"Jurburg_Pig"
"280.073_R1"	72698	72675	72675	72675	70088	67489	"Jurburg_Pig"
"280.074_R1"	65670	65650	65650	65650	64601	62144	"Jurburg_Pig"
"280.075_R1"	45071	45055	45055	45055	44611	42733	"Jurburg_Pig"
"280.076_R1"	54902	54888	54888	54888	54022	50645	"Jurburg_Pig"
"280.077_R1"	30561	30555	30555	30555	29786	28983	"Jurburg_Pig"
"280.079_R1"	131689	131656	131656	131656	129038	127314	"Jurburg_Pig"
"280.081_R1"	31480	31477	31477	31477	31477	31477	"Jurburg_Pig"
"280.085_R1"	37551	37547	37547	37547	36438	36318	"Jurburg_Pig"
"280.086_R1"	13100	13097	13097	13097	13038	13014	"Jurburg_Pig"
"280.087_R1"	93312	93294	93294	93294	89858	89435	"Jurburg_Pig"
"280.088_R1"	224268	224205	224205	224205	200193	197776	"Jurburg_Pig"
"280.089_R1"	71208	71197	71197	71197	66629	64325	"Jurburg_Pig"
"280.193_R1"	18997	18979	18979	18979	18886	17721	"Jurburg_Pig"
"280.194_R1"	9191	9184	9184	9184	9184	8239	"Jurburg_Pig"
"280.195_R1"	20160	20151	20151	20151	20136	19129	"Jurburg_Pig"
"280.196_R1"	29093	29088	29088	29088	28913	27329	"Jurburg_Pig"
"280.197_R1"	40289	40265	40265	40265	37973	37304	"Jurburg_Pig"
"280.198_R1"	9321	9318	9318	9318	9297	8347	"Jurburg_Pig"
"280.199_R1"	13267	13262	13262	13262	13225	12616	"Jurburg_Pig"
"280.200_R1"	39101	39080	39080	39080	38162	37367	"Jurburg_Pig"
"280.201_R1"	29163	29156	29156	29156	28864	25165	"Jurburg_Pig"
"280.202_R1"	10800	10794	10794	10794	10481	10371	"Jurburg_Pig"
"280.205_R1"	17079	17077	17077	17077	17077	16717	"Jurburg_Pig"
"280.206_R1"	11074	11069	11069	11069	11042	10592	"Jurburg_Pig"
"280.207_R1"	30877	30867	30867	30867	30397	29868	"Jurburg_Pig"
"280.208_R1"	16091	16088	16088	16088	15990	15828	"Jurburg_Pig"
"280.209_R1"	22171	22170	22170	22170	21983	21114	"Jurburg_Pig"
"280.210_R1"	13012	13009	13009	13009	12978	12751	"Jurburg_Pig"
"280.211_R1"	26199	26193	26193	26193	25522	25105	"Jurburg_Pig"
"280.212_R1"	16679	16672	16672	16672	16517	15955	"Jurburg_Pig"
"280.213_R1"	71584	71553	71553	71553	66958	66240	"Jurburg_Pig"
