"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SRR6312565_1"	61934	61703	61703	61703	58886	58886	"Yan"
"SRR6312566_1"	62320	62098	62098	62098	58253	58251	"Yan"
"SRR6312567_1"	50594	50443	50443	50443	47740	47740	"Yan"
"SRR6312568_1"	65100	64801	64801	64801	62054	62054	"Yan"
"SRR6312569_1"	66578	66323	66323	66323	63173	63173	"Yan"
"SRR6312570_1"	71768	71492	71492	71492	66798	66796	"Yan"
"SRR6312571_1"	63735	63479	63479	63479	59325	59325	"Yan"
"SRR6312572_1"	70851	70579	70579	70579	66250	66250	"Yan"
"SRR6312573_1"	72104	71829	71829	71829	67735	67735	"Yan"
"SRR6312574_1"	59387	59162	59162	59162	56700	56700	"Yan"
"SRR6312575_1"	70434	70140	70140	70140	66666	66666	"Yan"
"SRR6312576_1"	58506	58258	58258	58258	55238	55238	"Yan"
"SRR6312577_1"	55725	55518	55518	55518	52583	52583	"Yan"
"SRR6312578_1"	61869	61490	61490	61490	59724	59717	"Yan"
"SRR6312579_1"	78487	78008	78008	78008	74666	74660	"Yan"
"SRR6312580_1"	64993	64602	64602	64602	62295	62289	"Yan"
"SRR6312581_1"	71482	71019	71019	71019	68874	68871	"Yan"
"SRR6312582_1"	73814	73523	73523	73523	70123	70026	"Yan"
"SRR6312583_1"	68892	68571	68571	68571	66662	66499	"Yan"
"SRR6312584_1"	50908	50738	50738	50738	48946	48946	"Yan"
"SRR6312585_1"	56022	55821	55821	55821	53724	53719	"Yan"
"SRR6312586_1"	61304	61148	61148	61148	58546	58546	"Yan"
"SRR6312587_1"	63665	63455	63455	63455	60602	60600	"Yan"
"SRR6312588_1"	61437	61163	61163	61163	58375	58310	"Yan"
"SRR6312589_1"	60130	59885	59885	59885	57876	57806	"Yan"
"SRR6312590_1"	143976	138251	138251	138251	128718	97892	"Yan"
"SRR6312591_1"	148418	143532	143532	143532	135883	105579	"Yan"
"SRR6312592_1"	178	167	167	167	167	167	"Yan"
"SRR6312593_1"	259	254	254	254	254	254	"Yan"
"SRR6312594_1"	1378	1353	1353	1353	1353	1353	"Yan"
"SRR6312595_1"	5100	5057	5057	5057	5057	5055	"Yan"
"SRR6312596_1"	460	425	425	425	425	274	"Yan"
"SRR6312597_1"	597	578	578	578	578	470	"Yan"
