"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"Ines-Groeningen-E11-5_S122_L001_R1_001"	79646	79481	79481	79481	75877	75320	"Jurburg_microcosm"
"Ines-Groeningen-E12-1_S130_L001_R1_001"	32446	32372	32372	32372	31404	31374	"Jurburg_microcosm"
"Ines-Groeningen-E12-2_S138_L001_R1_001"	59017	58921	58921	58921	56834	56707	"Jurburg_microcosm"
"Ines-Groeningen-E12-3_S146_L001_R1_001"	6137	5865	5865	5865	5865	5845	"Jurburg_microcosm"
"Ines-Groeningen-E12-4_S154_L001_R1_001"	43106	43034	43034	43034	41744	40953	"Jurburg_microcosm"
"Ines-Groeningen-E12-5_S162_L001_R1_001"	51159	51082	51082	51082	48321	48204	"Jurburg_microcosm"
"Ines-Groeningen-E13-1_S170_L001_R1_001"	28681	28605	28605	28605	28038	27313	"Jurburg_microcosm"
"Ines-Groeningen-E13-2_S178_L001_R1_001"	43360	43301	43301	43301	42089	41842	"Jurburg_microcosm"
"Ines-Groeningen-E13-4_S99_L001_R1_001"	67416	67325	67325	67325	63900	63194	"Jurburg_microcosm"
"Ines-Groeningen-E13-5_S107_L001_R1_001"	14043	13501	13501	13501	13238	13221	"Jurburg_microcosm"
"Ines-Groeningen-E14-1_S115_L001_R1_001"	85754	85644	85644	85644	80919	79425	"Jurburg_microcosm"
"Ines-Groeningen-E14-2_S123_L001_R1_001"	66742	66597	66597	66597	64211	63720	"Jurburg_microcosm"
"Ines-Groeningen-E14-3_S131_L001_R1_001"	36131	36044	36044	36044	35058	34816	"Jurburg_microcosm"
"Ines-Groeningen-E14-4_S139_L001_R1_001"	83318	83186	83186	83186	78202	77753	"Jurburg_microcosm"
"Ines-Groeningen-E14-5_S147_L001_R1_001"	3982	3764	3764	3764	3764	3756	"Jurburg_microcosm"
"Ines-Groeningen-E15-1_S155_L001_R1_001"	82795	82664	82664	82664	78735	78400	"Jurburg_microcosm"
"Ines-Groeningen-E15-2_S163_L001_R1_001"	69517	69403	69403	69403	64315	64123	"Jurburg_microcosm"
"Ines-Groeningen-E15-3_S171_L001_R1_001"	62609	62469	62469	62469	59787	59602	"Jurburg_microcosm"
"Ines-Groeningen-E15-4_S179_L001_R1_001"	89696	89577	89577	89577	77486	77308	"Jurburg_microcosm"
"Ines-Groeningen-E3-1_S7_L001_R1_001"	77315	77192	77192	77192	75113	73080	"Jurburg_microcosm"
"Ines-Groeningen-E3-2_S15_L001_R1_001"	4411	3982	3982	3982	3982	3943	"Jurburg_microcosm"
"Ines-Groeningen-E3-3_S23_L001_R1_001"	79427	79310	79310	79310	76004	73734	"Jurburg_microcosm"
"Ines-Groeningen-E3-4_S31_L001_R1_001"	84827	84609	84609	84609	80733	78659	"Jurburg_microcosm"
"Ines-Groeningen-E3-5_S39_L001_R1_001"	59281	59120	59120	59120	57848	56298	"Jurburg_microcosm"
"Ines-Groeningen-E4-1_S47_L001_R1_001"	73786	73671	73671	73671	71457	70164	"Jurburg_microcosm"
"Ines-Groeningen-E4-2_S55_L001_R1_001"	2302	2058	2058	2058	2058	1260	"Jurburg_microcosm"
"Ines-Groeningen-E4-3_S63_L001_R1_001"	47224	47136	47136	47136	46348	45447	"Jurburg_microcosm"
"Ines-Groeningen-E4-4_S71_L001_R1_001"	118927	118744	118744	118744	111666	110034	"Jurburg_microcosm"
"Ines-Groeningen-E4-5_S79_L001_R1_001"	35000	34912	34912	34912	34556	34149	"Jurburg_microcosm"
"Ines-Groeningen-E5-1_S87_L001_R1_001"	196518	196205	196205	196205	178486	174951	"Jurburg_microcosm"
"Ines-Groeningen-E5-2_S95_L001_R1_001"	4080	3760	3760	3760	3760	3591	"Jurburg_microcosm"
"Ines-Groeningen-E5-3_S8_L001_R1_001"	51315	51223	51223	51223	49035	48148	"Jurburg_microcosm"
"Ines-Groeningen-E5-4_S16_L001_R1_001"	7354	6970	6970	6970	6970	6825	"Jurburg_microcosm"
"Ines-Groeningen-E5-5_S24_L001_R1_001"	43776	43712	43712	43712	41690	40731	"Jurburg_microcosm"
"Ines-Groeningen-E6-1_S32_L001_R1_001"	41013	40936	40936	40936	40293	39316	"Jurburg_microcosm"
"Ines-Groeningen-E6-2_S40_L001_R1_001"	28524	28441	28441	28441	28073	27491	"Jurburg_microcosm"
"Ines-Groeningen-E6-3_S48_L001_R1_001"	74564	74451	74451	74451	72433	71501	"Jurburg_microcosm"
"Ines-Groeningen-E6-4_S56_L001_R1_001"	5043	4734	4734	4734	4734	4725	"Jurburg_microcosm"
"Ines-Groeningen-E6-5_S64_L001_R1_001"	101969	101768	101768	101768	98418	95088	"Jurburg_microcosm"
"Ines-Groeningen-E7-1_S72_L001_R1_001"	126497	126265	126265	126265	117827	114823	"Jurburg_microcosm"
"Ines-Groeningen-E7-2_S80_L001_R1_001"	24149	24084	24084	24084	23602	23397	"Jurburg_microcosm"
"Ines-Groeningen-E7-3_S88_L001_R1_001"	2234	2229	2229	2229	2229	2185	"Jurburg_microcosm"
"Ines-Groeningen-E7-4_S96_L001_R1_001"	548	536	536	536	536	536	"Jurburg_microcosm"
