"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"SW-D7-13_S58_L001_R1_001.fastq"	162443	162372	162372	162372	161963	161715	"Flancman"
"SW-D7-14_S70_L001_R1_001.fastq"	120649	120592	120592	120592	120359	120330	"Flancman"
"SW-D7-15_S82_L001_R1_001.fastq"	103567	103529	103529	103529	103184	103091	"Flancman"
"SW-D7-16_S94_L001_R1_001.fastq"	100174	100150	100150	100150	100067	99999	"Flancman"
"SW-D7-17_S11_L001_R1_001.fastq"	140495	140419	140419	140419	140136	139948	"Flancman"
"SW-D7-18_S23_L001_R1_001.fastq"	169964	169888	169888	169888	169008	168908	"Flancman"
"SW-D7-19_S35_L001_R1_001.fastq"	137704	137680	137680	137680	137583	137535	"Flancman"
"SW-D7-1_S9_L001_R1_001.fastq"	156654	156592	156592	156592	156324	156259	"Flancman"
"SW-D7-20_S47_L001_R1_001.fastq"	128453	128415	128415	128415	128257	128249	"Flancman"
"SW-D7-21_S59_L001_R1_001.fastq"	117445	117384	117384	117384	117300	117253	"Flancman"
"SW-D7-23_S71_L001_R1_001.fastq"	77599	77573	77573	77573	77364	77326	"Flancman"
"SW-D7-24_S83_L001_R1_001.fastq"	105051	105000	105000	105000	104810	104798	"Flancman"
"SW-D7-26_S95_L001_R1_001.fastq"	104329	104291	104291	104291	104178	104093	"Flancman"
"SW-D7-27_S12_L001_R1_001.fastq"	106224	106194	106194	106194	106073	106035	"Flancman"
"SW-D7-28_S24_L001_R1_001.fastq"	88579	88561	88561	88561	88466	88419	"Flancman"
"SW-D7-29_S36_L001_R1_001.fastq"	116346	116318	116318	116318	116183	116144	"Flancman"
"SW-D7-2_S21_L001_R1_001.fastq"	134505	134451	134451	134451	134193	134140	"Flancman"
"SW-D7-30_S48_L001_R1_001.fastq"	110751	110712	110712	110712	110636	110595	"Flancman"
"SW-D7-31_S60_L001_R1_001.fastq"	119023	118998	118998	118998	118960	118941	"Flancman"
"SW-D7-32_S72_L001_R1_001.fastq"	124138	124094	124094	124094	123967	123923	"Flancman"
"SW-D7-3_S33_L001_R1_001.fastq"	123671	123604	123604	123604	123440	123324	"Flancman"
"SW-D7-4_S45_L001_R1_001.fastq"	145513	145489	145489	145489	145489	145431	"Flancman"
"SW-D7-5_S57_L001_R1_001.fastq"	130091	130045	130045	130045	129742	129632	"Flancman"
