"Original.Reads"	"Filtered.Reads"	"Denoised.Reads"	"tabled"	"Non.chimeric.Reads"	"pseq"	"study"
"ERR1987489"	32958	28732	28732	28732	27901	27813	"Ho"
"ERR1987490"	57215	45763	45763	45763	44466	43924	"Ho"
"ERR1987491"	42374	30819	30819	30819	29893	29722	"Ho"
"ERR1987492"	33169	30150	30150	30150	29181	28887	"Ho"
"ERR1987493"	26275	24021	24021	24021	23325	23132	"Ho"
"ERR1987494"	43816	37172	37172	37172	37172	37140	"Ho"
"ERR1987495"	31355	27637	27637	27637	26852	26669	"Ho"
"ERR1987496"	83630	75408	75408	75408	72824	72124	"Ho"
"ERR1987497"	32704	27841	27841	27841	26931	26630	"Ho"
"ERR1987498"	24007	21195	21195	21195	20809	20729	"Ho"
"ERR1987499"	20698	17962	17962	17962	17518	17343	"Ho"
"ERR1987500"	33937	29025	29025	29025	28336	27841	"Ho"
"ERR1987501"	20916	18642	18642	18642	18069	17815	"Ho"
"ERR1987502"	52154	45829	45829	45829	44565	44318	"Ho"
"ERR1987503"	19093	17266	17266	17266	16807	16650	"Ho"
"ERR1987504"	49969	46464	46464	46464	45581	45300	"Ho"
"ERR1987505"	50823	45772	45772	45772	44808	43640	"Ho"
"ERR1987506"	55816	52532	52532	52532	51511	51290	"Ho"
"ERR1987507"	32039	29878	29878	29878	29298	28814	"Ho"
"ERR1987508"	51473	44546	44546	44546	43750	43385	"Ho"
"ERR1987509"	41026	36162	36162	36162	35455	34742	"Ho"
"ERR1987510"	28315	25949	25949	25949	25521	25422	"Ho"
"ERR1987511"	21115	19173	19173	19173	18842	18563	"Ho"
"ERR1987512"	33032	30743	30743	30743	30264	30164	"Ho"
"ERR1987513"	62500	52369	52369	52369	51079	50442	"Ho"
"ERR1987514"	43788	39377	39377	39377	38699	38176	"Ho"
"ERR1987515"	50437	44047	44047	44047	43023	42354	"Ho"
"ERR1987516"	46523	42187	42187	42187	41361	41171	"Ho"
"ERR1987517"	73784	65025	65025	65025	63064	62016	"Ho"
"ERR1987518"	75813	63904	63904	63904	61910	61712	"Ho"
"ERR1987519"	51266	45588	45588	45588	44272	43173	"Ho"
"ERR1987520"	50192	48075	48075	48075	47096	46918	"Ho"
"ERR1987521"	44688	37642	37642	37642	36832	35802	"Ho"
"ERR1987522"	59840	53465	53465	53465	51830	51620	"Ho"
"ERR1987523"	47866	42928	42928	42928	41826	40844	"Ho"
"ERR1987524"	99097	81331	81331	81331	78887	78629	"Ho"
"ERR1987525"	15830	12886	12886	12886	12588	12255	"Ho"
"ERR1987526"	69675	61572	61572	61572	59806	59558	"Ho"
"ERR1987527"	45136	37786	37786	37786	36802	35784	"Ho"
